שם נייר,מספר נייר,סימבול,סוג נייר,מטבע,כמות נוכחית,שער,% שינוי,שווי נוכחי,רווח/הפסד יומי,שינוי מעלות,שינוי מעלות ב%,עלות,אחוז אחזקה,עלות FIFO בוקר,% ש.מעלות FIFO בוקר,ש.מעלות FIFO בשקלים בוקר,מ.ממוצע FIFO בוקר
"דולר ארה""ב",99028,,"מט""ח מזומן                    ",שקל חדש                    000,12.78,331.5,,42.37,0.0,-0.33,-0.78,42.7,0.01,0.0,0.00%,0.0,0.0
INT'L BUSI(IBM),101543,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,11.0,288.37,,10515.41,0.0,4372.21,71.17,6143.2,2.33,7750.64,35.67%,2764.77,704.6
MICROSOFT(MSFT),105049,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,25.0,517.35,,42875.38,0.0,15467.98,56.44,27407.4,9.5,26806.1,59.95%,16069.28,1072.24
NVIDIA(NVDA),119636,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,43.0,187.62,,26744.29,0.0,13687.67,104.83,13056.62,5.93,17741.92,50.74%,9002.37,412.6
סקופ,288019,סקופ,"מניות בש""ח                    ",שקל חדש                    000,139.0,15790.0,2.53%,21948.1,542.1,546.01,2.55,21402.09,4.87,17607.77,21.57%,3798.23,12667.46
פמס,315010,פמס,"מניות בש""ח                    ",שקל חדש                    000,45.0,19300.0,-2.53%,8685.0,-225.0,2120.55,32.3,6564.45,1.93,6564.45,35.73%,2345.55,14587.67
מטריקס,445015,מטרקס,"מניות בש""ח                    ",שקל חדש                    000,209.0,11960.0,2.66%,24996.4,647.9,8137.24,48.27,16859.16,5.54,14075.56,72.98%,10272.94,6734.72
מיחשוב ישר קב,507012,מחשר,"מניות בש""ח                    ",שקל חדש                    000,64.0,45970.0,0.00%,29420.8,0.0,11132.7,60.87,18288.1,6.52,15773.85,86.52%,13646.95,24646.64
מזרחי טפחות,695437,מזטפ,"מניות בש""ח                    ",שקל חדש                    000,93.0,21300.0,-2.25%,19809.0,-455.7,8370.05,73.17,11438.95,4.39,8075.4,150.94%,12189.3,8683.23
J.P. MORGAN(JPM,1051424,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,22.0,310.03,,22610.49,0.0,9224.32,68.91,13386.17,5.01,14494.93,55.99%,8115.56,658.86
VISA INC (V US),1055714,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,24.0,349.84,,27833.27,0.0,3402.77,13.93,24430.5,6.17,25593.61,8.75%,2239.66,1066.4
ASML HOL(ASML),1056472,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,11.0,1032.22,,37639.9,0.0,10771.38,40.09,26868.52,8.34,27032.97,39.24%,10606.93,2457.54
קווליטאו,1083955,קלטו,"מניות בש""ח                    ",שקל חדש                    000,10.0,46580.0,3.74%,4658.0,168.0,764.3,19.63,3893.7,1.03,3893.7,15.31%,596.3,38937.0
אטראו שוקי הון,1096106,אטרא,"מניות בש""ח                    ",שקל חדש                    000,70.0,7725.0,-2.94%,5407.5,-163.8,1582.75,41.38,3824.75,1.2,3824.75,45.66%,1746.55,5463.93
נקסט ויז'ן,1176593,נקסנ,"מניות בש""ח                    ",שקל חדש                    000,177.0,14900.0,-0.67%,26373.0,-177.0,18103.58,218.92,8269.42,5.85,8269.42,221.06%,18280.58,4671.99
25  -‬מס תקבולים,9992975,,"תפ""ס/פח""ק                     ",שקל חדש                    000,90.1,100.0,,90.1,0.0,0.0,0.0,0.0,0.02,0.0,0.00%,0.0,0.0
25      ‬מס לשלם,9992983,,"תפ""ס/פח""ק                     ",שקל חדש                    000,-3016.25,100.0,,-3016.25,0.0,0.0,0.0,0.0,-0.67,0.0,0.00%,0.0,0.0
LB US,20111258,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,30.0,56.67,,5635.83,0.0,-1917.83,-25.39,7553.66,1.25,7616.6,-26.01%,-1980.77,253.89
PLTR US,24154741,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,48.0,173.07,,27538.9,0.0,21073.68,325.95,6465.22,6.1,7287.39,277.9%,20251.51,151.82
MAIN STREE(MAIN,60050580,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,52.0,62.96,,10853.04,0.0,2484.36,29.69,8368.68,2.41,9088.79,19.41%,1764.25,174.78
TEXAS PACIF(TPL,60198199,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,5.0,945.89,,15678.13,0.0,4211.67,36.73,11466.46,3.48,12085.32,29.73%,3592.81,2417.06
TESLA MOT(TSLA),60248002,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,23.0,429.83,,32772.39,0.0,15401.14,88.66,17371.25,7.26,17005.42,92.72%,15766.97,739.37
GOOG US,60354768,,"מניה זרה בחו""ל                ",דולר אמריקאי               001,59.0,246.45,,48201.92,0.0,19110.77,65.69,29091.15,10.68,30862.22,56.18%,17339.7,523.09
SCHG US,60603545,,קרנות נאמנות זרות             ,דולר אמריקאי               001,33.0,32.09,,3510.49,0.0,186.06,5.6,3324.43,0.78,3454.24,1.63%,56.25,104.67
P002500M510-35ת,85851251,,"אופציית מעו""ף בארץ            ",שקל חדש                    000,-5.0,11.0,10%,-55.0,-5.0,732.5,93.02,-787.5,-0.01,-787.5,-93.65%,737.5,157.5
P002400M510-35ת,85888816,,"אופציית מעו""ף בארץ            ",שקל חדש                    000,-1.0,6.0,200%,-6.0,-4.0,53.5,89.92,-59.5,0.0,-59.5,-96.64%,57.5,59.5
P002460M511-35ת,85922599,,"אופציית מעו""ף בארץ            ",שקל חדש                    000,-14.0,23.0,-46.51%,-322.0,280.0,475.0,59.6,-797.0,-0.07,-797.0,-24.47%,195.0,56.93
P002420M511-35ת,85957637,,"אופציית מעו""ף בארץ            ",שקל חדש                    000,-4.0,17.0,-48.48%,-68.0,64.0,266.0,79.64,-334.0,-0.02,-334.0,-60.48%,202.0,83.5
P002420M512-35ת,85976421,,"אופציית מעו""ף בארץ            ",שקל חדש                    000,-2.0,54.0,-15.63%,-108.0,20.0,19.0,14.96,-127.0,-0.02,-127.0,0.79%,-1.0,63.5
P002400M512-35ת,85976439,,"אופציית מעו""ף בארץ            ",שקל חדש                    000,-7.0,41.0,-6.82%,-287.0,21.0,129.5,31.09,-416.5,-0.06,-416.5,-26.05%,108.5,59.5
