date,transaction_type,quantity,execution_price,currency,amount_local_currency,amount_foreign_currency
2022-05-22,הפקדה,70.63,100.0,₪,0.0,0.0
2022-05-24,הפקדה,236.22,100.0,₪,0.0,0.0
2022-06-01,הפקדה,364.62,100.0,₪,0.0,0.0
2022-06-20,משיכה,27.18,100.0,₪,0.0,0.0
2022-06-23,משיכה,36.17,100.0,₪,0.0,0.0
2022-06-26,הפקדה,0.63,100.0,₪,0.0,0.0
2022-06-28,משיכה,21.6,100.0,₪,0.0,0.0
2022-07-06,הפקדה,31.26,100.0,₪,0.0,0.0
2022-07-24,משיכה,172.48,100.0,₪,0.0,0.0
2022-07-27,משיכה,53.09,100.0,₪,0.0,0.0
2022-07-28,משיכה,97.5,100.0,₪,0.0,0.0
2022-08-04,משיכה,588.1,100.0,₪,0.0,0.0
2022-08-11,משיכה,137.5,100.0,₪,0.0,0.0
2022-08-22,משיכה,31.0,100.0,₪,0.0,0.0
2022-08-28,משיכה,113.54,100.0,₪,0.0,0.0
2022-08-30,משיכה,96.79,100.0,₪,0.0,0.0
2022-08-31,קניה שח,671.59,100.0,₪,-671.59,0.0
2022-09-15,משיכה,59.27,100.0,₪,0.0,0.0
2022-09-18,הפקדה,533.19,100.0,₪,0.0,0.0
2022-09-20,משיכה,40.01,100.0,₪,0.0,0.0
2022-09-29,משיכה,198.75,100.0,₪,0.0,0.0
2022-09-30,מכירה שח,235.16,100.0,₪,235.16,0.0
2022-10-06,הפקדה,93.21,100.0,₪,0.0,0.0
2022-10-12,הפקדה,63.23,100.0,₪,0.0,0.0
2022-10-13,הפקדה,577.03,100.0,₪,0.0,0.0
2022-10-19,משיכה,35.0,100.0,₪,0.0,0.0
2022-10-27,משיכה,36.88,100.0,₪,0.0,0.0
2022-10-31,מכירה שח,436.43,100.0,₪,436.43,0.0
2022-11-07,משיכה,21.94,100.0,₪,0.0,0.0
2022-11-24,משיכה,172.72,100.0,₪,0.0,0.0
2022-11-29,משיכה,78.12,100.0,₪,0.0,0.0
2022-11-30,קניה שח,47.62,100.0,₪,-47.62,0.0
2022-12-04,משיכה,24.75,100.0,₪,0.0,0.0
2022-12-06,משיכה,34.06,100.0,₪,0.0,0.0
2022-12-13,משיכה,31.26,100.0,₪,0.0,0.0
2022-12-20,משיכה,36.94,100.0,₪,0.0,0.0
2022-12-21,משיכה,15.13,100.0,₪,0.0,0.0
2022-12-29,משיכה,75.0,100.0,₪,0.0,0.0
2022-12-31,משיכה,236.67,100.0,₪,0.0,0.0
2022-12-31,קניה שח,453.81,100.0,₪,-453.81,0.0
2024-01-25,משיכה,297.5,100.0,₪,0.0,0.0
2024-01-28,משיכה,173.01,100.0,₪,0.0,0.0
2024-01-31,קניה שח,470.51,100.0,₪,-470.51,0.0
2024-02-08,משיכה,35.43,100.0,₪,0.0,0.0
2024-02-22,משיכה,275.63,100.0,₪,0.0,0.0
2024-02-29,קניה שח,311.06,100.0,₪,-311.06,0.0
2024-03-10,משיכה,674.78,100.0,₪,0.0,0.0
2024-03-12,משיכה,19.84,100.0,₪,0.0,0.0
2024-03-14,משיכה,222.13,100.0,₪,0.0,0.0
2024-03-26,משיכה,55.96,100.0,₪,0.0,0.0
2024-03-28,משיכה,68.04,100.0,₪,0.0,0.0
2024-03-31,קניה שח,1040.75,100.0,₪,-1040.75,0.0
2024-04-04,הפקדה,1186.82,100.0,₪,0.0,0.0
2024-04-10,הפקדה,440.68,100.0,₪,0.0,0.0
2024-04-15,משיכה,105.43,100.0,₪,0.0,0.0
2024-04-18,משיכה,16.81,100.0,₪,0.0,0.0
2024-04-21,משיכה,124.8,100.0,₪,0.0,0.0
2024-04-25,משיכה,109.38,100.0,₪,0.0,0.0
2024-04-30,הפקדה,109.97,100.0,₪,0.0,0.0
2024-04-30,מכירה שח,1381.05,100.0,₪,1381.05,0.0
2024-05-01,משיכה,96.49,100.0,₪,0.0,0.0
2024-05-07,הפקדה,21.75,100.0,₪,0.0,0.0
2024-05-08,משיכה,419.01,100.0,₪,0.0,0.0
2024-05-22,משיכה,20.19,100.0,₪,0.0,0.0
2024-05-30,משיכה,48.75,100.0,₪,0.0,0.0
2024-05-31,קניה שח,562.69,100.0,₪,-562.69,0.0
2024-06-06,משיכה,51.71,100.0,₪,0.0,0.0
2024-06-18,משיכה,59.34,100.0,₪,0.0,0.0
2024-06-19,משיכה,20.2,100.0,₪,0.0,0.0
2024-06-23,משיכה,528.23,100.0,₪,0.0,0.0
2024-06-24,משיכה,662.42,100.0,₪,0.0,0.0
2024-06-26,משיכה,316.81,100.0,₪,0.0,0.0
2024-06-27,משיכה,217.46,100.0,₪,0.0,0.0
2024-06-30,קניה שח,1856.17,100.0,₪,-1856.17,0.0
2024-07-08,משיכה,64.5,100.0,₪,0.0,0.0
2024-07-10,משיכה,2692.28,100.0,₪,0.0,0.0
2024-07-11,הפקדה,0.1,100.0,₪,0.0,0.0
2024-07-25,משיכה,42.32,100.0,₪,0.0,0.0
2024-07-31,הפקדה,64.01,100.0,₪,0.0,0.0
2024-07-31,קניה שח,2734.99,100.0,₪,-2734.99,0.0
2024-08-06,משיכה,372.74,100.0,₪,0.0,0.0
2024-08-08,משיכה,410.39,100.0,₪,0.0,0.0
2024-08-12,משיכה,234.62,100.0,₪,0.0,0.0
2024-08-14,הפקדה,475.18,100.0,₪,0.0,0.0
2024-08-20,משיכה,20.29,100.0,₪,0.0,0.0
2024-08-21,הפקדה,242.48,100.0,₪,0.0,0.0
2024-08-26,הפקדה,95.23,100.0,₪,0.0,0.0
2024-08-29,משיכה,52.28,100.0,₪,0.0,0.0
2024-08-31,קניה שח,277.43,100.0,₪,-277.43,0.0
2024-09-04,משיכה,37.84,100.0,₪,0.0,0.0
2024-09-10,משיכה,82.15,100.0,₪,0.0,0.0
2024-09-19,משיכה,54.4,100.0,₪,0.0,0.0
2024-09-22,משיכה,71.72,100.0,₪,0.0,0.0
2024-09-25,משיכה,10.69,100.0,₪,0.0,0.0
2024-09-30,קניה שח,256.8,100.0,₪,-256.8,0.0
2024-10-01,משיכה,42.85,100.0,₪,0.0,0.0
2024-10-15,משיכה,610.72,100.0,₪,0.0,0.0
2024-10-20,משיכה,700.94,100.0,₪,0.0,0.0
2024-10-27,משיכה,538.1,100.0,₪,0.0,0.0
2024-10-31,קניה שח,1892.61,100.0,₪,-1892.61,0.0
2024-11-06,משיכה,764.3,100.0,₪,0.0,0.0
2024-11-20,משיכה,26.29,100.0,₪,0.0,0.0
2024-11-21,הפקדה,359.6,100.0,₪,0.0,0.0
2024-11-24,משיכה,315.96,100.0,₪,0.0,0.0
2024-11-30,קניה שח,746.95,100.0,₪,-746.95,0.0
2024-12-05,משיכה,51.28,100.0,₪,0.0,0.0
2024-12-09,משיכה,66.23,100.0,₪,0.0,0.0
2024-12-11,משיכה,293.42,100.0,₪,0.0,0.0
2024-12-12,משיכה,158.12,100.0,₪,0.0,0.0
2024-12-16,משיכה,93.2,100.0,₪,0.0,0.0
2024-12-19,משיכה,68.26,100.0,₪,0.0,0.0
2024-12-22,משיכה,54.4,100.0,₪,0.0,0.0
2024-12-25,משיכה,38.65,100.0,₪,0.0,0.0
2024-12-26,משיכה,108.35,100.0,₪,0.0,0.0
2024-12-30,משיכה,13.84,100.0,₪,0.0,0.0
2024-12-31,קניה שח,945.75,100.0,₪,-945.75,0.0
